community_area,time_section,date,primary_type,month
5,3,2016-10-01 14:18:00,SEX OFFENSE,10
7,1,2016-10-02 02:00:00,SEX OFFENSE,10
23,3,2016-10-02 12:30:00,SEX OFFENSE,10
49,1,2016-10-03 03:00:00,SEX OFFENSE,10
66,2,2016-10-03 09:00:00,SEX OFFENSE,10
28,2,2016-10-03 12:00:00,SEX OFFENSE,10
42,3,2016-10-03 18:00:00,SEX OFFENSE,10
38,4,2016-10-03 21:50:00,SEX OFFENSE,10
23,2,2016-10-04 07:45:00,SEX OFFENSE,10
61,2,2016-10-05 07:45:00,SEX OFFENSE,10
27,2,2016-10-05 10:45:00,SEX OFFENSE,10
27,2,2016-10-05 10:45:00,SEX OFFENSE,10
42,4,2016-10-05 19:00:00,SEX OFFENSE,10
71,4,2016-10-05 21:30:00,SEX OFFENSE,10
44,3,2016-10-06 12:50:00,SEX OFFENSE,10
52,4,2016-10-06 19:00:00,SEX OFFENSE,10
26,4,2016-10-06 22:45:00,SEX OFFENSE,10
2,2,2016-10-07 08:00:00,SEX OFFENSE,10
30,1,2016-10-08 02:00:00,SEX OFFENSE,10
40,4,2016-10-08 23:30:00,SEX OFFENSE,10
43,2,2016-10-09 07:30:00,SEX OFFENSE,10
1,4,2016-10-09 18:45:00,SEX OFFENSE,10
13,1,2016-10-10 00:01:00,SEX OFFENSE,10
72,2,2016-10-10 06:40:00,SEX OFFENSE,10
8,2,2016-10-10 09:30:00,SEX OFFENSE,10
39,2,2016-10-11 08:47:00,SEX OFFENSE,10
77,2,2016-10-11 10:41:00,SEX OFFENSE,10
23,3,2016-10-11 13:00:00,SEX OFFENSE,10
29,4,2016-10-11 19:00:00,SEX OFFENSE,10
66,4,2016-10-11 21:30:00,SEX OFFENSE,10
69,2,2016-10-12 06:55:00,SEX OFFENSE,10
14,2,2016-10-12 11:14:00,SEX OFFENSE,10
23,3,2016-10-12 18:00:00,SEX OFFENSE,10
43,4,2016-10-12 18:15:00,SEX OFFENSE,10
32,4,2016-10-12 19:45:00,SEX OFFENSE,10
25,1,2016-10-13 01:00:00,SEX OFFENSE,10
15,3,2016-10-13 13:00:00,SEX OFFENSE,10
66,1,2016-10-14 02:00:00,SEX OFFENSE,10
35,2,2016-10-14 11:30:00,SEX OFFENSE,10
23,4,2016-10-14 21:00:00,SEX OFFENSE,10
28,4,2016-10-16 00:00:00,SEX OFFENSE,10
6,1,2016-10-16 01:10:00,SEX OFFENSE,10
29,1,2016-10-16 03:20:00,SEX OFFENSE,10
25,1,2016-10-16 05:00:00,SEX OFFENSE,10
38,2,2016-10-16 10:47:00,SEX OFFENSE,10
38,3,2016-10-16 17:15:00,SEX OFFENSE,10
43,3,2016-10-16 18:00:00,SEX OFFENSE,10
21,4,2016-10-16 23:45:00,SEX OFFENSE,10
73,2,2016-10-17 07:00:00,SEX OFFENSE,10
59,3,2016-10-17 18:00:00,SEX OFFENSE,10
42,2,2016-10-18 09:00:00,SEX OFFENSE,10
23,2,2016-10-18 11:00:00,SEX OFFENSE,10
6,4,2016-10-18 18:06:00,SEX OFFENSE,10
27,1,2016-10-19 03:00:00,SEX OFFENSE,10
32,3,2016-10-19 14:15:00,SEX OFFENSE,10
16,4,2016-10-19 19:00:00,SEX OFFENSE,10
43,1,2016-10-20 01:00:00,SEX OFFENSE,10
8,2,2016-10-20 12:00:00,SEX OFFENSE,10
28,4,2016-10-21 19:35:00,SEX OFFENSE,10
46,1,2016-10-23 02:15:00,SEX OFFENSE,10
30,3,2016-10-23 15:15:00,SEX OFFENSE,10
68,4,2016-10-24 00:00:00,SEX OFFENSE,10
44,4,2016-10-24 18:01:00,SEX OFFENSE,10
15,4,2016-10-24 23:00:00,SEX OFFENSE,10
2,3,2016-10-25 16:45:00,SEX OFFENSE,10
2,1,2016-10-27 04:30:00,SEX OFFENSE,10
68,3,2016-10-27 16:30:00,SEX OFFENSE,10
25,2,2016-10-28 10:52:00,SEX OFFENSE,10
50,4,2016-10-28 18:20:00,SEX OFFENSE,10
54,1,2016-10-29 04:00:00,SEX OFFENSE,10
28,2,2016-10-29 07:09:00,SEX OFFENSE,10
19,3,2016-10-29 14:30:00,SEX OFFENSE,10
